FILENAME|OBS_ID|PROGRAM|OBS_NUM|VISIT|VISIT_ID|VISITGRP|VISITYPE|SEQ_ID|ACT_ID|EXPOSURE|EXP_TYPE|NEXPOSUR|EXPCOUNT|INSTRUME|DETECTOR|CHANNEL|TARGETID|TARGPROP|TARGNAME|TARGTYPE|TEMPLATE|PNTGTYPE|PNTG_SEQ|TARGORDN|EXPSPCIN|DITHPTIN|MOSTILNO|MODULE|FILTER|PUPIL|DITHERID|PATTTYPE|PATTSTRT|NUMDTHPT|PATTSIZE|SUBPXPTS|PATT_NUM|SUBPIXEL|APERNAME|SDP_VER|SUBARRAY|GRATING|FXD_SLIT|BAND|GWA_XTIL|GWA_YTIL|ASN_CANDIDATE|EXPOSERR|IS_PSF|IS_IMPRT|BKGDTARG|TSOVISIT|MSASTATE|MSAMETFL|OPMODE|LAMP|SPEC_NUM|SPAT_NUM|DMS_NOTE|EXSEGTOT|NINTS|NGROUPS
jw01328015001_02103_00004_mirifushort_uncal.fits|V01328015001P0000000002103|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|03|4|MIR_MRS|12|5|MIRI|MIRIFUSHORT|12|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|8|1|2|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02103_00004_mirimage_uncal.fits|V01328015001P0000000002103|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|03|4|MIR_IMAGE|12|5|MIRI|MIRIMAGE|NULL|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|8|1|2|4|1|NULL|F770W|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328015001_02105_00001_mirifulong_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|1|MIR_MRS|12|9|MIRI|MIRIFULONG|34|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|9|1|3|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00001_mirifushort_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|1|MIR_MRS|12|9|MIRI|MIRIFUSHORT|12|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|9|1|3|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00001_mirimage_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|1|MIR_IMAGE|12|9|MIRI|MIRIMAGE|NULL|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|9|1|3|1|1|NULL|F1500W|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328015001_02105_00002_mirifulong_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|2|MIR_MRS|12|9|MIRI|MIRIFULONG|34|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|10|1|3|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00002_mirifushort_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|2|MIR_MRS|12|9|MIRI|MIRIFUSHORT|12|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|10|1|3|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00002_mirimage_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|2|MIR_IMAGE|12|9|MIRI|MIRIMAGE|NULL|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|10|1|3|2|1|NULL|F1500W|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328015001_02105_00003_mirifulong_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|3|MIR_MRS|12|9|MIRI|MIRIFULONG|34|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|11|1|3|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00003_mirifushort_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|3|MIR_MRS|12|9|MIRI|MIRIFUSHORT|12|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|11|1|3|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00003_mirimage_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|3|MIR_IMAGE|12|9|MIRI|MIRIMAGE|NULL|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|11|1|3|3|1|NULL|F1500W|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328015001_02105_00004_mirifulong_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|4|MIR_MRS|12|9|MIRI|MIRIFULONG|34|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|12|1|3|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00004_mirifushort_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|4|MIR_MRS|12|9|MIRI|MIRIFUSHORT|12|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|12|1|3|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328015001_02105_00004_mirimage_uncal.fits|V01328015001P0000000002105|1328|15|1|01328015001|2|PRIME_TARGETED_FIXED|1|05|4|MIR_IMAGE|12|9|MIRI|MIRIMAGE|NULL|14|NGC-7469-MRS|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|12|1|3|4|1|NULL|F1500W|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o015', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02101_00001_mirifulong_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|1|MIR_MRS|12|1|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|1|1|1|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00001_mirifushort_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|1|MIR_MRS|12|1|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|1|1|1|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00001_mirimage_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|1|MIR_IMAGE|12|1|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|1|1|1|1|1|NULL|F560W|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02101_00002_mirifulong_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|2|MIR_MRS|12|1|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|2|1|1|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00002_mirifushort_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|2|MIR_MRS|12|1|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|2|1|1|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00002_mirimage_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|2|MIR_IMAGE|12|1|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|2|1|1|2|1|NULL|F560W|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02101_00003_mirifulong_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|3|MIR_MRS|12|1|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|3|1|1|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00003_mirifushort_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|3|MIR_MRS|12|1|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|3|1|1|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00003_mirimage_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|3|MIR_IMAGE|12|1|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|3|1|1|3|1|NULL|F560W|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02101_00004_mirifulong_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|4|MIR_MRS|12|1|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|4|1|1|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00004_mirifushort_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|4|MIR_MRS|12|1|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|4|1|1|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|SHORT|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02101_00004_mirimage_uncal.fits|V01328016001P0000000002101|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|01|4|MIR_IMAGE|12|1|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|4|1|1|4|1|NULL|F560W|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02103_00001_mirifulong_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|1|MIR_MRS|12|5|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|5|1|2|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00001_mirifushort_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|1|MIR_MRS|12|5|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|5|1|2|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00001_mirimage_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|1|MIR_IMAGE|12|5|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|5|1|2|1|1|NULL|F770W|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02103_00002_mirifulong_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|2|MIR_MRS|12|5|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|6|1|2|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00002_mirifushort_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|2|MIR_MRS|12|5|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|6|1|2|2|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00002_mirimage_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|2|MIR_IMAGE|12|5|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|6|1|2|2|1|NULL|F770W|NULL|1|4-POINT|NULL|4|NULL|NULL|2|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02103_00003_mirifulong_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|3|MIR_MRS|12|5|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|7|1|2|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00003_mirifushort_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|3|MIR_MRS|12|5|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|7|1|2|3|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00003_mirimage_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|3|MIR_IMAGE|12|5|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|7|1|2|3|1|NULL|F770W|NULL|1|4-POINT|NULL|4|NULL|NULL|3|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02103_00004_mirifulong_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|4|MIR_MRS|12|5|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|8|1|2|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00004_mirifushort_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|4|MIR_MRS|12|5|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|8|1|2|4|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|MEDIUM|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02103_00004_mirimage_uncal.fits|V01328016001P0000000002103|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|03|4|MIR_IMAGE|12|5|MIRI|MIRIMAGE|NULL|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|8|1|2|4|1|NULL|F770W|NULL|1|4-POINT|NULL|4|NULL|NULL|4|NULL|MIRIM_FULL|2025_2|FULL|NULL|NULL|NULL|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|5|7
jw01328016001_02105_00001_mirifulong_uncal.fits|V01328016001P0000000002105|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|05|1|MIR_MRS|12|9|MIRI|MIRIFULONG|34|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|9|1|3|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
jw01328016001_02105_00001_mirifushort_uncal.fits|V01328016001P0000000002105|1328|16|1|01328016001|2|PRIME_TARGETED_FIXED|1|05|1|MIR_MRS|12|9|MIRI|MIRIFUSHORT|12|11|NGC-7469-BK|NGC 7469|FIXED|MIRI Medium Resolution Spectroscopy|SCIENCE|9|1|3|1|1|NULL|NULL|NULL|1|4-POINT|NULL|4|NULL|NULL|1|NULL|MIRIFU_CHANNEL1A|2025_2|FULL|NULL|NULL|LONG|NULL|NULL|[('o016', 'OBSERVATION'), ('c1006', 'BACKGROUND')]|NULL|NULL|NULL|T|F|NULL|NULL|NULL|OFF|NULL|NULL|NULL|NULL|1|40
